Species,coef,significant,significant2,ci.lower,ci.upper,chg_rad_inc_1SD_clim,variable,month,CP,sp
CACO_subcanopy,0.022230005,FALSE,FALSE,-0.166090574,0.219013083,0.003245654,tmn,prev.jul,subcanopy,CACO
CACO_subcanopy,0.061246336,FALSE,FALSE,-0.142792765,0.251345225,0.008942166,tmn,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.018038555,FALSE,FALSE,-0.217690393,0.18201089,-0.002633688,tmn,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.027659434,FALSE,FALSE,-0.214675818,0.144555678,-0.004038368,tmn,prev.oct,subcanopy,CACO
CACO_subcanopy,0.005574033,FALSE,FALSE,-0.197009813,0.212819896,0.000813827,tmn,prev.nov,subcanopy,CACO
CACO_subcanopy,0.138509989,FALSE,FALSE,-0.078850915,0.344834132,0.020222913,tmn,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.017731487,FALSE,FALSE,-0.193143127,0.16340987,-0.002588855,tmn,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.086098969,FALSE,FALSE,-0.250496419,0.089079019,-0.012570732,tmn,curr.feb,subcanopy,CACO
CACO_subcanopy,0.028909205,FALSE,FALSE,-0.13706062,0.205108981,0.004220839,tmn,curr.mar,subcanopy,CACO
CACO_subcanopy,-0.011229431,FALSE,FALSE,-0.215843254,0.203567036,-0.001639534,tmn,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.085257808,FALSE,FALSE,-0.295549802,0.123460369,-0.01244792,tmn,curr.may,subcanopy,CACO
CACO_subcanopy,-0.248639985,TRUE,FALSE,-0.441209237,-0.040043421,-0.036302253,tmn,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.113832464,FALSE,FALSE,-0.321808564,0.12228863,-0.016619913,tmn,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.005778726,FALSE,FALSE,-0.172661953,0.178651022,-0.000843713,tmn,curr.aug,subcanopy,CACO
CACO_subcanopy,0.041181364,FALSE,FALSE,-0.162090671,0.222510707,0.006012614,tmp,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.147459575,FALSE,FALSE,-0.352408562,0.059622449,-0.021529581,tmp,prev.may,subcanopy,CACO
CACO_subcanopy,0.022377987,FALSE,FALSE,-0.228001641,0.253927418,0.00326726,tmp,prev.jun,subcanopy,CACO
CACO_subcanopy,0.01646263,FALSE,FALSE,-0.172488302,0.184273322,0.002403598,tmp,prev.jul,subcanopy,CACO
CACO_subcanopy,-0.071658824,FALSE,FALSE,-0.264161839,0.141508894,-0.010462423,tmp,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.117556323,FALSE,FALSE,-0.307561763,0.079920517,-0.017163609,tmp,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.120242182,FALSE,FALSE,-0.288945795,0.080321818,-0.017555753,tmp,prev.oct,subcanopy,CACO
CACO_subcanopy,-0.047146916,FALSE,FALSE,-0.248042768,0.154052636,-0.006883604,tmp,prev.nov,subcanopy,CACO
CACO_subcanopy,0.086155983,FALSE,FALSE,-0.130454819,0.289533592,0.012579056,tmp,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.010148243,FALSE,FALSE,-0.200037307,0.172400333,-0.001481677,tmp,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.099826272,FALSE,FALSE,-0.269338742,0.090266913,-0.014574963,tmp,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.052739622,FALSE,FALSE,-0.220852927,0.122353002,-0.007700158,tmp,curr.mar,subcanopy,CACO
CACO_subcanopy,0.047525943,FALSE,FALSE,-0.190469018,0.2453296,0.006938944,tmp,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.127618079,FALSE,FALSE,-0.345487568,0.079732763,-0.018632658,tmp,curr.may,subcanopy,CACO
CACO_subcanopy,-0.326963869,TRUE,TRUE,-0.494630075,-0.137559264,-0.047737797,tmp,curr.jun,subcanopy,CACO
